"1612/11/23","慶長","17","閏10/01","壬子","小"
"1612/12/22","慶長","17","11/01","壬子","大"
"1613/01/21","慶長","17","12/01","壬子","大"
"1613/02/20","慶長","18","01/01","癸丑","大"
"1613/03/22","慶長","18","02/01","癸丑","小"
"1613/04/20","慶長","18","03/01","癸丑","大"
"1613/05/20","慶長","18","04/01","癸丑","小"
"1613/06/18","慶長","18","05/01","癸丑","大"
"1613/07/18","慶長","18","06/01","癸丑","小"
"1613/08/16","慶長","18","07/01","癸丑","大"
"1613/09/15","慶長","18","08/01","癸丑","小"
"1613/10/14","慶長","18","09/01","癸丑","小"
"1613/11/12","慶長","18","10/01","癸丑","大"
"1613/12/12","慶長","18","11/01","癸丑","小"
"1614/01/10","慶長","18","12/01","癸丑","大"
"1614/02/09","慶長","19","01/01","甲寅","大"
"1614/03/11","慶長","19","02/01","甲寅","小"
"1614/04/09","慶長","19","03/01","甲寅","大"
"1614/05/09","慶長","19","04/01","甲寅","大"
"1614/06/08","慶長","19","05/01","甲寅","小"
"1614/07/07","慶長","19","06/01","甲寅","大"
"1614/08/06","慶長","19","07/01","甲寅","小"
"1614/09/04","慶長","19","08/01","甲寅","大"
"1614/10/04","慶長","19","09/01","甲寅","小"
"1614/11/02","慶長","19","10/01","甲寅","小"
"1614/12/01","慶長","19","11/01","甲寅","大"
"1614/12/31","慶長","19","12/01","甲寅","小"
"1615/01/29","慶長","20","01/01","乙卯","大"
"1615/02/28","慶長","20","02/01","乙卯","小"
"1615/03/29","慶長","20","03/01","乙卯","大"
"1615/04/28","慶長","20","04/01","乙卯","大"
"1615/05/28","慶長","20","05/01","乙卯","小"
"1615/06/26","慶長","20","06/01","乙卯","大"
"1615/07/26","慶長","20","閏06/01","乙卯","小"
"1615/08/24","慶長","20","07/01","乙卯","大"
"1615/09/04","慶長","20","07/12","乙卯","大"
"1615/09/05","元和","01","07/13","乙卯","大"
"1615/09/23","元和","01","08/01","乙卯","大"
"1615/10/23","元和","01","09/01","乙卯","小"
"1615/11/21","元和","01","10/01","乙卯","大"
"1615/12/21","元和","01","11/01","乙卯","小"
"1616/01/19","元和","01","12/01","乙卯","小"
"1616/02/17","元和","02","01/01","丙辰","大"
"1616/03/18","元和","02","02/01","丙辰","小"
"1616/04/16","元和","02","03/01","丙辰","大"
"1616/05/16","元和","02","04/01","丙辰","小"
"1616/06/14","元和","02","05/01","丙辰","大"
"1616/07/14","元和","02","06/01","丙辰","大"
"1616/08/13","元和","02","07/01","丙辰","小"
"1616/09/11","元和","02","08/01","丙辰","大"
"1616/10/11","元和","02","09/01","丙辰","小"
"1616/11/09","元和","02","10/01","丙辰","大"
"1616/12/09","元和","02","11/01","丙辰","大"
"1617/01/08","元和","02","12/01","丙辰","小"
"1617/02/06","元和","03","01/01","丁巳","大"
"1617/03/08","元和","03","02/01","丁巳","小"
"1617/04/06","元和","03","03/01","丁巳","小"
"1617/05/05","元和","03","04/01","丁巳","大"
"1617/06/04","元和","03","05/01","丁巳","小"
"1617/07/03","元和","03","06/01","丁巳","大"
"1617/08/02","元和","03","07/01","丁巳","小"
"1617/08/31","元和","03","08/01","丁巳","大"
"1617/09/30","元和","03","09/01","丁巳","大"
"1617/10/30","元和","03","10/01","丁巳","小"
"1617/11/28","元和","03","11/01","丁巳","大"
"1617/12/28","元和","03","12/01","丁巳","大"
"1618/01/27","元和","04","01/01","戊午","小"
"1618/02/25","元和","04","02/01","戊午","大"
"1618/03/27","元和","04","03/01","戊午","小"
"1618/04/25","元和","04","閏03/01","戊午","小"
"1618/05/24","元和","04","04/01","戊午","大"
"1618/06/23","元和","04","05/01","戊午","小"
"1618/07/22","元和","04","06/01","戊午","小"
"1618/08/20","元和","04","07/01","戊午","大"
"1618/09/19","元和","04","08/01","戊午","大"
"1618/10/19","元和","04","09/01","戊午","小"
"1618/11/17","元和","04","10/01","戊午","大"
"1618/12/17","元和","04","11/01","戊午","大"
"1619/01/16","元和","04","12/01","戊午","大"
"1619/02/15","元和","05","01/01","己未","小"
"1619/03/16","元和","05","02/01","己未","大"
"1619/04/15","元和","05","03/01","己未","小"
"1619/05/14","元和","05","04/01","己未","小"
"1619/06/12","元和","05","05/01","己未","小"
"1619/07/11","元和","05","06/01","己未","大"
"1619/08/10","元和","05","07/01","己未","小"
"1619/09/08","元和","05","08/01","己未","大"
"1619/10/08","元和","05","09/01","己未","小"
"1619/11/06","元和","05","10/01","己未","大"
"1619/12/06","元和","05","11/01","己未","大"
"1620/01/05","元和","05","12/01","己未","大"
"1620/02/04","元和","06","01/01","庚申","小"
"1620/03/04","元和","06","02/01","庚申","大"
"1620/04/03","元和","06","03/01","庚申","大"
"1620/05/03","元和","06","04/01","庚申","小"
"1620/06/01","元和","06","05/01","庚申","小"
"1620/06/30","元和","06","06/01","庚申","大"
"1620/07/30","元和","06","07/01","庚申","小"
"1620/08/28","元和","06","08/01","庚申","小"
"1620/09/26","元和","06","09/01","庚申","大"
"1620/10/26","元和","06","10/01","庚申","小"
